Sample	Acidimicrobiales	Flavobacteriaceae	Marinisomatia	Pelagibacter
BL090113	1_1	NA	4_2	NA
BL090210	1_1	3_2	4_2	NA
BL090317	1_1	NA	NA	NA
BL090421	1_1	NA	NA	2_63
BL090512	NA	NA	NA	2_65
BL090609	NA	NA	NA	2_66
BL091105	1_1	NA	4_2	NA
BL091222	1_1	3_3	4_2	NA
BL100120	1_1	3_1	4_2	NA
BL100217	1_1	3_1	4_2	NA
BL100413	NA	NA	NA	2_44
BL100525	1_1	NA	NA	2_21
BL100706	NA	NA	NA	2_18
BL100803	NA	NA	NA	2_21
BL100914	NA	NA	NA	2_18
BL101019	1_1	NA	4_1	2_14
BL101116	1_1	NA	4_1	NA
BL101214	1_1	NA	4_2	2_11
BL110112	1_1	3_1	4_10	NA
BL110208	1_1	NA	4_2	2_45
BL110314	1_1	NA	4_15	2_25
BL110412	NA	NA	NA	2_20
BL110517	NA	NA	NA	2_21
BL110615	NA	NA	NA	2_24
BL110704	NA	NA	NA	2_21
BL110802	NA	NA	NA	2_22
BL110913	NA	NA	NA	2_17
BL111010	NA	NA	NA	2_8
BL111129	1_1	NA	4_3	NA
BL111219	1_1	NA	4_2	NA
BL120110	1_1	NA	4_2	2_4
BL120214	1_1	3_1	4_7	2_55
BL120313	NA	NA	4_2	2_41
BL120411	1_2	NA	NA	NA
BL120518	NA	NA	NA	2_15
BL120620	NA	NA	NA	2_20
BL120703	NA	NA	NA	2_6
BL120807	NA	NA	NA	2_12
BL120913	NA	NA	NA	2_27
BL121009	NA	NA	NA	2_28
BL121106	1_1	NA	4_14	NA
BL121211	1_1	NA	4_2	2_5
BL130115	1_1	NA	4_2	2_42
BL130206	1_1	3_1	4_2	2_43
BL130312	1_1	NA	4_4	2_28
BL130417	NA	NA	NA	2_7
BL130507	NA	NA	NA	2_15
BL130604	NA	NA	NA	2_15
BL130709	NA	NA	NA	2_29
BL130801	NA	NA	NA	2_15
BL130917	NA	NA	NA	2_13
BL131015	NA	NA	NA	2_40
BL131105	1_1	NA	4_18	2_47
BL131204	1_1	NA	4_2	2_57
BL140114	1_1	3_1	4_2	2_34
BL140211	1_1	3_1	4_13	2_37
BL140310	1_1	NA	4_12	2_31
BL140407	1_1	NA	NA	2_30
BL140505	NA	NA	NA	2_36
BL140602	NA	NA	NA	2_36
BL140707	NA	NA	NA	2_16
BL140804	NA	NA	NA	2_15
BL140916	NA	NA	NA	2_50
BL141007	NA	NA	NA	2_51
BL141111	NA	NA	4_5	NA
BL141216	1_1	NA	4_2	NA
BL150113	1_1	3_1	4_16	2_58
BL150210	1_1	3_1	4_6	NA
BL150310	1_1	NA	4_8	2_53
BL150415	NA	NA	NA	2_38
BL150512	NA	NA	NA	2_52
BL150609	NA	NA	NA	2_36
BL150707	1_1	NA	NA	2_36
BL150916	NA	NA	NA	2_48
BL151006	NA	NA	NA	2_1
BL151110	1_1	NA	4_2	NA
BL151215	1_1	NA	4_2	2_3
SO090105	1_1	NA	4_2	NA
SO090209	1_1	NA	4_2	NA
SO090323	1_1	NA	NA	2_64
SO090518	NA	NA	NA	2_61
SO090617	NA	NA	NA	2_67
SO090727	NA	NA	NA	2_59
SO090824	NA	NA	NA	2_60
SO090909	NA	NA	NA	2_16
SO091116	1_1	NA	4_1	NA
SO091216	1_1	NA	4_2	2_62
SO100111	1_1	NA	4_2	NA
SO100215	1_1	NA	4_2	2_68
SO100315	1_1	NA	4_2	2_16
SO100426	NA	NA	NA	2_11
SO100526	NA	NA	NA	2_21
SO100607	NA	NA	NA	2_10
SO100705	NA	NA	NA	2_21
SO100802	NA	NA	NA	2_10
SO100913	NA	NA	NA	2_19
SO101027	1_1	NA	4_1	2_26
SO101115	1_1	NA	4_1	2_14
SO101206	1_1	NA	4_2	2_19
SO110117	1_1	NA	4_2	2_21
SO110207	1_1	NA	4_2	2_23
SO110309	1_1	NA	4_11	2_20
SO110426	NA	NA	NA	2_21
SO110523	NA	NA	NA	2_20
SO110607	NA	NA	NA	2_21
SO110711	NA	NA	NA	2_15
SO110727	NA	NA	NA	2_15
SO110912	NA	NA	NA	2_15
SO111011	NA	NA	NA	2_14
SO111123	1_1	NA	4_2	2_46
SO111206	1_1	NA	4_2	2_9
SO121212	1_1	NA	NA	NA
SO130115	1_3	NA	NA	NA
SO130923	NA	NA	NA	2_15
SO140113	1_1	3_1	NA	2_39
SO140224	1_1	NA	NA	NA
SO140324	NA	NA	NA	2_35
SO140519	NA	NA	NA	2_36
SO150108	1_1	NA	NA	NA
SO150122	1_1	NA	NA	NA
SO150309	1_1	NA	4_17	2_56
SO150413	1_1	NA	4_9	2_32
SO150608	NA	NA	NA	2_54
SO150803	NA	NA	NA	2_33
SO150831	NA	NA	NA	2_49
SO151005	NA	NA	NA	2_2
SO151109	1_1	NA	4_2	NA
SO151214	1_1	NA	4_2	NA
