cluster	sample	MAG
1_1	BL090113	Acidimicrobiales
1_1	BL090210	Acidimicrobiales
1_1	BL090317	Acidimicrobiales
1_1	BL090421	Acidimicrobiales
1_1	BL091105	Acidimicrobiales
1_1	BL091222	Acidimicrobiales
1_1	BL100120	Acidimicrobiales
1_1	BL100217	Acidimicrobiales
1_1	BL100525	Acidimicrobiales
1_1	BL101019	Acidimicrobiales
1_1	BL101116	Acidimicrobiales
1_1	BL101214	Acidimicrobiales
1_1	BL110112	Acidimicrobiales
1_1	BL110208	Acidimicrobiales
1_1	BL110314	Acidimicrobiales
1_1	BL111129	Acidimicrobiales
1_1	BL111219	Acidimicrobiales
1_1	BL120110	Acidimicrobiales
1_1	BL120214	Acidimicrobiales
1_2	BL120411	Acidimicrobiales
1_1	BL121106	Acidimicrobiales
1_1	BL121211	Acidimicrobiales
1_1	BL130115	Acidimicrobiales
1_1	BL130206	Acidimicrobiales
1_1	BL130312	Acidimicrobiales
1_1	BL131105	Acidimicrobiales
1_1	BL131204	Acidimicrobiales
1_1	BL140114	Acidimicrobiales
1_1	BL140211	Acidimicrobiales
1_1	BL140310	Acidimicrobiales
1_1	BL140407	Acidimicrobiales
1_1	BL141216	Acidimicrobiales
1_1	BL150113	Acidimicrobiales
1_1	BL150210	Acidimicrobiales
1_1	BL150310	Acidimicrobiales
1_1	BL150707	Acidimicrobiales
1_1	BL151110	Acidimicrobiales
1_1	BL151215	Acidimicrobiales
1_1	SO090105	Acidimicrobiales
1_1	SO090209	Acidimicrobiales
1_1	SO090323	Acidimicrobiales
1_1	SO091116	Acidimicrobiales
1_1	SO091216	Acidimicrobiales
1_1	SO100111	Acidimicrobiales
1_1	SO100215	Acidimicrobiales
1_1	SO100315	Acidimicrobiales
1_1	SO101027	Acidimicrobiales
1_1	SO101115	Acidimicrobiales
1_1	SO101206	Acidimicrobiales
1_1	SO110117	Acidimicrobiales
1_1	SO110207	Acidimicrobiales
1_1	SO110309	Acidimicrobiales
1_1	SO111123	Acidimicrobiales
1_1	SO111206	Acidimicrobiales
1_1	SO121212	Acidimicrobiales
1_3	SO130115	Acidimicrobiales
1_1	SO140113	Acidimicrobiales
1_1	SO140224	Acidimicrobiales
1_1	SO150108	Acidimicrobiales
1_1	SO150122	Acidimicrobiales
1_1	SO150309	Acidimicrobiales
1_1	SO150413	Acidimicrobiales
1_1	SO151109	Acidimicrobiales
1_1	SO151214	Acidimicrobiales
2_63	BL090421	Pelagibacter
2_65	BL090512	Pelagibacter
2_66	BL090609	Pelagibacter
2_44	BL100413	Pelagibacter
2_21	BL100525	Pelagibacter
2_18	BL100706	Pelagibacter
2_21	BL100803	Pelagibacter
2_18	BL100914	Pelagibacter
2_14	BL101019	Pelagibacter
2_11	BL101214	Pelagibacter
2_45	BL110208	Pelagibacter
2_25	BL110314	Pelagibacter
2_20	BL110412	Pelagibacter
2_21	BL110517	Pelagibacter
2_24	BL110615	Pelagibacter
2_21	BL110704	Pelagibacter
2_22	BL110802	Pelagibacter
2_17	BL110913	Pelagibacter
2_8	BL111010	Pelagibacter
