Samples	Day_length	Temperature	Secchi	Salinity	Chla_total	Chla_3um	PO4	NH4	NO2	NO3	Si	BP_FC1.55	PNF_Micro	PNF2_5um_Micro	PNF_5um_Micro	Cryptomonas	Micromonas	HNF_Micro	HNF2_5um_Micro	HNF_5um_Micro	LNA	HNA	Prochlorococcus_FC	Peuk1	Peuk2	year	month	day	season	Bacteria_joint	Synechococcus
BL090113	9.42	12.72	14	38.08	0.43	NA	0.086	0.411	0.186	1.501	2.499	0.27	8725	8569	52	96	6824	449	437	12	429000	308000	6104	6634	288	2009	1	13	winter	736000	5682
BL090210	10.37	12.16	12	38.06	0.83	NA	NA	NA	NA	NA	NA	1.86	7435	7314	69	48	5519	659	628	31	234000	543000	859	6296	443	2009	2	10	winter	777000	3838
BL090317	11.95	13	15	38.18	NA	NA	0.049	0.327	0.033	0.287	2.066	0.4	10290	9635	66	547	6409	533	493	41	347000	428000	8681	7424	1369	2009	3	17	spring	775000	49535
BL090421	13.56	14.58	15.5	38.15	1.16	0.08	0.044	0.363	0.031	0.093	0.532	1.85	3602	3282	262	54	2849	244	220	24	625000	489000	0	2484	144	2009	4	21	spring	1110000	5281
BL090512	14.4	17.55	12	37.76	0.54	0.27	0.048	0.406	0.024	0.098	0.735	1.26	2619	2364	238	17	1103	887	847	41	257000	434000	0	2843	1114	2009	5	12	spring	691000	6473
BL090609	15.12	18.97	13	37.98	0.3	0.13	0.069	0.478	0.022	0.113	1.464	1.13	4801	4669	114	17	3205	1418	1379	39	430000	711000	3251	4737	1209	2009	6	9	spring	1140000	28994
BL090721	14.78	23.38	13	38.13	0.13	0.03	0.045	0.449	0.011	0.63	0.97	0.69	1666	1349	119	184	275	1361	1322	38	396000	556000	4918	1164	131	2009	7	21	summer	953000	54905
BL090804	14.33	24.3	20	38.17	0.34	0.18	0.029	0.099	0.028	0.346	1.042	2.02	2363	2321	42	0	329	2210	2129	83	353000	324000	5641	1033	415	2009	8	4	summer	677000	30294
BL090915	12.55	23.51	18	38.14	0.34	0.24	0.096	0.166	0.01	0.349	1.206	1.25	1708	1467	20	56	131	1190	1190	0	329000	376000	5442	632	344	2009	9	15	autumn	705000	24977
BL091006	11.58	20.32	16	38.07	0.74	0.35	0.102	0.156	0.034	0.512	1.23	1.04	4666	4418	50	69	2389	1313	1313	0	563000	575000	19796	2270	761	2009	10	6	autumn	1140000	39559
BL091105	10.26	17.29	20	38.16	0.76	0.49	0.117	0.101	0.045	0.264	1.354	0.5	5758	5593	0	75	3464	752	752	0	416000	510000	34516	3185	478	2009	11	5	autumn	926000	26455
BL091222	9.15	13.81	8	37.98	1.13	0.37	0.104	0.083	0.172	1.162	1.621	0.46	2732	2482	134	107	1407	599	599	0	386000	307000	10844	1032	282	2009	12	22	winter	693000	7668
BL100120	9.61	12.92	16	37.93	1	0.73	0.108	0.067	0.231	2.794	1.902	0.04	11280	11261	18	92	9942	409	409	0	335000	362000	8744	6353	410	2010	1	20	winter	697000	5336
