genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
bin120.fa	BL090113.clean.bam	BL090210.clean.bam	0.9992475440898098	857502	488	0	1.0	0.9994309051174225	0.9985443993143539
bin120.fa	BL090113.clean.bam	BL090317.clean.bam	0.9922288116169473	851314	604	0	1.0	0.9992905085550102	0.9913385936801312
bin120.fa	BL090113.clean.bam	BL090421.clean.bam	0.9253799627353178	793208	605	1	0.9999987392966284	0.9992372744601669	0.9236752869280072
bin120.fa	BL090113.clean.bam	BL091105.clean.bam	0.9994784739607089	857937	437	0	1.0	0.999490638590013	0.9990509483529587
bin120.fa	BL090113.clean.bam	BL091222.clean.bam	0.9995724188567533	857711	491	0	1.0	0.999427546108188	0.9987877757489939
bin120.fa	BL090113.clean.bam	BL100120.clean.bam	0.9989105586011835	857175	547	0	1.0	0.999361857263686	0.9981636141749888
bin120.fa	BL090113.clean.bam	BL100217.clean.bam	0.9986157082709022	856927	611	0	1.0	0.999286987106253	0.9978748229989566
bin120.fa	BL090113.clean.bam	BL100525.clean.bam	0.8415484393738509	718805	733	0	1.0	0.9989802519459381	0.837034440676703
bin120.fa	BL090113.clean.bam	BL101019.clean.bam	0.6764849518621678	571463	580	0	1.0	0.9989850611500657	0.6654575476971233
bin120.fa	BL090113.clean.bam	BL101116.clean.bam	0.964396617002603	827211	765	0	1.0	0.999075205721394	0.9632711190192279
bin120.fa	BL090113.clean.bam	BL101214.clean.bam	0.9992824835534223	857495	643	0	1.0	0.9992501414002414	0.9985362479505142
bin120.fa	BL090113.clean.bam	BL110112.clean.bam	0.9994373360658593	857668	590	0	1.0	0.9993120881273406	0.9987377030854077
bin120.fa	BL090113.clean.bam	BL110208.clean.bam	0.9970817423680134	855495	705	0	1.0	0.9991759156979293	0.9962072868534804
bin120.fa	BL090113.clean.bam	BL110314.clean.bam	0.9990625448266567	857219	642	0	1.0	0.9992510665302565	0.9982148513191236
bin120.fa	BL090113.clean.bam	BL111129.clean.bam	0.9993595701534983	857730	597	0	1.0	0.9993039767759085	0.9988099008794157
bin120.fa	BL090113.clean.bam	BL111219.clean.bam	0.9993548662013033	857579	548	0	1.0	0.9993609918153313	0.9986340643165896
bin120.fa	BL090113.clean.bam	BL120110.clean.bam	0.9996132448146585	857851	553	2	0.9999976685927976	0.9993553659085319	0.9989508030257862
bin120.fa	BL090113.clean.bam	BL120214.clean.bam	0.9994245738880836	857679	551	0	1.0	0.9993575685075652	0.9987505123714413
bin120.fa	BL090113.clean.bam	BL120411.clean.bam	0.9468356882630127	811801	1617	2	0.9999975363420346	0.9980081325349439	0.9453264737665822
bin120.fa	BL090113.clean.bam	BL121106.clean.bam	0.9843910227805477	844580	669	0	1.0	0.9992078903123446	0.9834969816664182
bin120.fa	BL090113.clean.bam	BL121211.clean.bam	0.9995527294249668	857831	545	0	1.0	0.999364676725369	0.9989275134148159
bin120.fa	BL090113.clean.bam	BL130115.clean.bam	0.9985751259093757	856870	611	0	1.0	0.9992869396757968	0.9978084476076912
bin120.fa	BL090113.clean.bam	BL130206.clean.bam	0.9995667711933617	857809	534	0	1.0	0.999377483798841	0.9989018948427485
bin120.fa	BL090113.clean.bam	BL130312.clean.bam	0.9927431212551902	851804	700	0	1.0	0.9991782147066696	0.9919091891489045
bin120.fa	BL090113.clean.bam	BL131105.clean.bam	0.9911537817603597	850372	665	0	1.0	0.9992179893035048	0.9902416530034283
bin120.fa	BL090113.clean.bam	BL131204.clean.bam	0.9992432775443916	857539	555	0	1.0	0.9993527991146758	0.998587485094649
bin120.fa	BL090113.clean.bam	BL140114.clean.bam	0.9958753859915747	854471	609	0	1.0	0.9992872783277607	0.9950148587717991
bin120.fa	BL090113.clean.bam	BL140211.clean.bam	0.9995111048768579	857731	553	0	1.0	0.9993552757216423	0.9988110653599642
bin120.fa	BL090113.clean.bam	BL140310.clean.bam	0.9934472709359713	852347	620	0	1.0	0.9992725967241042	0.9925415020867492
bin120.fa	BL090113.clean.bam	BL140407.clean.bam	0.8268173347496325	705066	659	1	0.9999985816930613	0.9990653357274355	0.821035642420629
bin120.fa	BL090113.clean.bam	BL141216.clean.bam	0.9992685342068196	857355	656	0	1.0	0.9992348560397968	0.9983732206737219
bin120.fa	BL090113.clean.bam	BL150113.clean.bam	0.9996098099194359	857879	577	0	1.0	0.9993274109752075	0.9989834084811448
bin120.fa	BL090113.clean.bam	BL150210.clean.bam	0.9994559908992369	857570	575	0	1.0	0.9993295007987686	0.998623583991653
bin120.fa	BL090113.clean.bam	BL150310.clean.bam	0.9994563992656573	857676	611	0	1.0	0.9992876097733876	0.9987470189297958
bin120.fa	BL090113.clean.bam	BL150707.clean.bam	0.9895382497316881	848975	704	0	1.0	0.9991707647457228	0.9886148736771501
bin120.fa	BL090113.clean.bam	BL151110.clean.bam	0.9726981168238004	834425	754	0	1.0	0.9990963837373041	0.971671681696229
bin120.fa	BL090113.clean.bam	BL151215.clean.bam	0.9996005931201385	857933	598	0	1.0	0.9993029758734073	0.9990462904307646
bin120.fa	BL090113.clean.bam	SO090105.clean.bam	0.999450357573569	857600	432	0	1.0	0.9994962686567164	0.9986585184081085
bin120.fa	BL090113.clean.bam	SO090209.clean.bam	0.9988084050150915	856963	496	0	1.0	0.9994212118842937	0.9979167442987033
bin120.fa	BL090113.clean.bam	SO090323.clean.bam	0.9964180783586566	854915	523	0	1.0	0.9993882432756472	0.9955318881353405
bin120.fa	BL090113.clean.bam	SO091116.clean.bam	0.9995481617497938	857931	464	0	1.0	0.9994591639654005	0.9990439614696676
bin120.fa	BL090113.clean.bam	SO091216.clean.bam	0.9996064392894306	857809	494	0	1.0	0.9994241142258941	0.9989018948427485
bin120.fa	BL090113.clean.bam	SO100111.clean.bam	0.9986228586054844	856847	586	0	1.0	0.9993160972729087	0.9977816645550752
bin120.fa	BL090113.clean.bam	SO100215.clean.bam	0.9150710025015651	783923	710	1	0.9999987243645103	0.9990942988023058	0.9128630850350276
bin120.fa	BL090113.clean.bam	SO100315.clean.bam	0.9993789463504565	857577	562	0	1.0	0.9993446652603789	0.9986317353554927
bin120.fa	BL090113.clean.bam	SO101027.clean.bam	0.9951951867846142	853883	671	0	1.0	0.9992141780548389	0.9943301442092711
bin120.fa	BL090113.clean.bam	SO101115.clean.bam	0.999540071129411	857792	590	0	1.0	0.999312187569947	0.9988820986734238
bin120.fa	BL090113.clean.bam	SO101206.clean.bam	0.9991718420224766	857418	695	0	1.0	0.9991894268606444	0.9984465829482785
bin120.fa	BL090113.clean.bam	SO110117.clean.bam	0.9995576492982429	857847	603	0	1.0	0.9992970774508741	0.9989461451035921
bin120.fa	BL090113.clean.bam	SO110207.clean.bam	0.991786056266766	850899	678	0	1.0	0.9992031956789231	0.9908553342524966
bin120.fa	BL090113.clean.bam	SO110309.clean.bam	0.9953073690253186	853982	704	0	1.0	0.9991756266525524	0.9944454277835743
bin120.fa	BL090113.clean.bam	SO111123.clean.bam	0.9996331336552214	857853	510	0	1.0	0.9994054925494228	0.9989531319868833
bin120.fa	BL090113.clean.bam	SO111206.clean.bam	0.9995318178511478	857811	505	0	1.0	0.9994112922310392	0.9989042238038456
